,Marque,Référence annonce,Nom,Modèle,Prix,Année,Contrôle technique,Énergie,Boîte de vitesse,Couleur extérieure,Couleur intérieure,Nombre de portes,Nombre de places,Première main (déclaratif),Puissance fiscale,Puissance din,Crit'Air,Émissions de CO2,Norme Euro,Éligible prime à la conversion,Kilométrage compteur km,Garantie,Nombre de propriétaires,Garantie constructeur,Vérifié & Garanti,Provenance
4,Ford,W101709209,FORD F150 2020 RAPTOR SUPERCREW 802A LUXURY,F150,91560,2020,non requis,Essence,mécanique,gris anthracite metal,cuir noir,4,,oui,20 CV,450 ch,,,,Non,15,24 mois,,,,Importé
5,Ford,W101709177,FORD F150 2020 RAPTOR SUPERCREW 802A LUXURY,F150,91560,2020,non requis,Essence,mécanique,gris anthracite metal,cuir noir,4,,oui,20 CV,450 ch,,,,Non,15,24 mois,,,,Importé
6,Ford,W101716059,FORD F150 2019 RAPTOR SUPERCREW 802A LUXURY,F150,84960,2020,non requis,Essence,automatique,noir metal,cuir noir,4,,oui,20 CV,450 ch,,,,Non,15,24 mois,,,,Importé
7,Ford,W101709163,FORD F150 2020 RAPTOR SUPERCREW 802A LUXURY,F150,91560,2020,non requis,Essence,mécanique,gris anthracite metal,cuir noir,4,,oui,20 CV,450 ch,,,,Non,15,24 mois,,,,Importé
8,Ford,W101709095,FORD F150 2020 RAPTOR SUPERCREW 802A LUXURY,F150,91560,2020,non requis,Essence,mécanique,noir metal,cuir noir,4,,oui,20 CV,450 ch,,,,Non,15,24 mois,,,,Importé
9,Ford,W101716326,FORD F150 2019 RAPTOR SUPERCREW 802A LUXURY,F150,84960,2020,non requis,Essence,automatique,noir metal,cuir noir,4,,oui,20 CV,450 ch,,,,Non,15,24 mois,,,,Importé
10,Ford,W101700846,FORD FOCUS III (2) 1.5 TDCI 120 S&S TITANIUM 5P,FOCUS 3,16000,2017,non requis,Diesel,mécanique,blanc verni,tissu noir,5,5,oui,6 CV,120 ch,2,99 g/kmA,EURO6,Non,17850,12 mois,1,,,
11,Ford,W101716329,FORD F150 2019 RAPTOR SUPERCREW 802A LUXURY,F150,84960,2020,non requis,Essence,automatique,blanc,cuir noir,4,,oui,20 CV,450 ch,,,,Non,15,24 mois,,,,Importé
12,Ford,W101716325,FORD F150 2019 RAPTOR SUPERCREW 802A LUXURY,F150,84960,2020,non requis,Essence,automatique,noir metal,cuir noir,4,,oui,20 CV,450 ch,,,,Non,15,24 mois,,,,Importé
13,Ford,W101709053,FORD F150 2020 RAPTOR SUPERCREW 802A LUXURY,F150,91560,2020,non requis,Essence,mécanique,noir metal,cuir noir,4,,oui,20 CV,450 ch,,,,Non,15,24 mois,,,,Importé
14,Ford,W101709097,FORD F150 2020 RAPTOR SUPERCREW 802A LUXURY,F150,91560,2020,non requis,Essence,mécanique,noir metal,cuir noir,4,,oui,20 CV,450 ch,,,,Non,15,24 mois,,,,Importé
15,Ford,W101716328,FORD F150 2019 RAPTOR SUPERCREW 802A LUXURY,F150,84960,2020,non requis,Essence,automatique,blanc metal,cuir noir,4,,oui,20 CV,450 ch,,,,Non,15,24 mois,,,,Importé
16,Ford,W101709155,FORD F150 2020 RAPTOR SUPERCREW 802A LUXURY,F150,91560,2020,non requis,Essence,mécanique,gris anthracite metal,cuir noir,4,,oui,20 CV,450 ch,,,,Non,15,24 mois,,,,Importé
1,Ford,W101709201,FORD F150 2020 RAPTOR SUPERCREW 802A LUXURY,F150,91560,2020,non requis,Essence,mécanique,gris anthracite metal,cuir noir,4,,oui,20 CV,450 ch,,,,Non,15,24 mois,,,,Importé
2,Ford,E106147371,FORD FOCUS III 1.0 SCTI 100 S&S ECOBOOST TITANIUM BVM5 5P,FOCUS 3,7990,2014,requis,Essence,mécanique,rouge,,5,5,non,5 CV,100 ch,1,109 g/kmB,EURO5,Oui,83000,,,,,
3,Ford,W101719211,FORD RANGER II 4X4 3.2 TDCI 200 DOUBLE CABINE WILDTRAK,RANGER 2,21900,2015,requis,Diesel,mécanique,blanc verni,cuir/tissu noir,4,5,non,11 CV,200 ch,2,261 g/kmG,EURO5,Non,66500,6 mois,2,,,
4,Ford,W101709215,FORD F150 2020 RAPTOR SUPERCREW 802A LUXURY,F150,91560,2020,non requis,Essence,mécanique,gris anthracite metal,cuir noir,4,,oui,20 CV,450 ch,,,,Non,15,24 mois,,,,Importé
5,Ford,W101709087,FORD F150 2020 RAPTOR SUPERCREW 802A LUXURY,F150,91560,2020,non requis,Essence,mécanique,noir metal,cuir noir,4,,oui,20 CV,450 ch,,,,Non,15,24 mois,,,,Importé
6,Ford,W101709174,FORD F150 2020 RAPTOR SUPERCREW 802A LUXURY,F150,91560,2020,non requis,Essence,mécanique,gris anthracite metal,cuir noir,4,,oui,20 CV,450 ch,,,,Non,15,24 mois,,,,Importé
7,Ford,W101708640,FORD F150 2020 RAPTOR SUPERCREW 802A LUXURY,F150,91560,2020,non requis,Essence,mécanique,noir metal,cuir noir,4,,oui,20 CV,450 ch,,,,Non,15,24 mois,,,,Importé
8,Ford,B101162169,FORD MUSTANG V CABRIOLET 4.6 V8 300 PREMIUM,MUSTANG 5 CABRIOLET,49000,2007,requis,Essence,mécanique,noir verni,cuir noir,2,4,non,26 CV,305 ch,2,0 g/kmA,EURO4,Non,64000,,2,,,
